                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1924,                 1.6931,                0.82851,                0.00298,                0.03608,                0.00162,                0.00114,                    nan,                    nan,                    nan,             0.00040598,             0.00040598,             0.00040598
                      2,                 1.1959,                0.71845,                0.81834,                0.41244,                0.32252,                0.19472,                0.10682,                 1.0498,                    inf,                0.81629,             0.00081451,             0.00081451,             0.00081451
                      3,                 1.2275,                0.75885,                0.81874,                0.56325,                0.51027,                0.47803,                0.27718,                 1.2582,                 0.8686,                0.83037,              0.0012148,              0.0012148,              0.0012148
                      4,                 1.2297,                0.75879,                0.81533,                0.64658,                0.65765,                0.69783,                0.38403,                 1.1573,                0.92807,                0.82125,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.1444,                0.63944,                0.81103,                0.63424,                0.52278,                0.53472,                0.30511,                 1.1845,                0.70302,                0.82321,              0.0012005,              0.0012005,              0.0012005
                      6,                 1.1046,                0.60899,                0.80698,                0.87698,                 0.5584,                0.72217,                0.41752,                 1.1101,                0.57196,                 0.8154,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.0908,                0.57792,                0.80304,                0.70319,                0.58099,                0.65405,                0.38482,                 1.0934,                0.58701,                0.81175,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.0833,                0.59004,                0.80499,                0.87193,                0.56348,                0.69439,                0.41013,                 1.0073,                0.53666,                 0.8116,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.0575,                 0.5427,                0.80385,                 0.8975,                0.67075,                0.77375,                0.48818,                0.97675,                0.49888,                0.80616,               0.001151,               0.001151,               0.001151
                     10,                 1.0067,                0.50756,                0.79864,                0.85146,                0.63776,                0.73217,                0.46426,                0.94559,                0.49125,                0.80477,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.0378,                0.52931,                0.79827,                0.85806,                 0.6713,                0.74676,                0.47424,                0.94298,                0.48988,                0.80482,              0.0011263,              0.0011263,              0.0011263
                     12,                0.97682,                  0.499,                0.79788,                0.74862,                0.69532,                0.73524,                0.45883,                0.96995,                0.49133,                0.80553,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.0269,                0.50564,                0.79974,                0.80868,                0.68916,                0.71698,                0.47545,                 0.8951,                0.48006,                0.80584,              0.0011015,              0.0011015,              0.0011015
                     14,                0.93636,                0.47207,                0.79471,                 0.8293,                0.71246,                0.76394,                0.47993,                0.90189,                 0.4483,                0.80304,              0.0010891,              0.0010891,              0.0010891
                     15,                0.96459,                0.47251,                0.79554,                0.88548,                0.65597,                0.74438,                0.46493,                0.99031,                0.46774,                0.80344,              0.0010768,              0.0010768,              0.0010768
                     16,                0.95976,                0.46909,                0.79683,                0.90499,                0.65898,                0.74163,                0.49706,                0.89412,                0.46952,                0.80079,              0.0010644,              0.0010644,              0.0010644
                     17,                0.96955,                0.47618,                0.79485,                0.84101,                0.69667,                0.74132,                0.47605,                0.92797,                0.47742,                0.80079,               0.001052,               0.001052,               0.001052
                     18,                0.96209,                0.47209,                 0.7927,                0.88547,                0.67301,                0.72972,                0.48001,                0.92202,                0.47491,                0.80386,              0.0010396,              0.0010396,              0.0010396
                     19,                0.93745,                0.45975,                0.79476,                0.80891,                0.67654,                0.74909,                0.49731,                0.88151,                0.45763,                0.80054,              0.0010273,              0.0010273,              0.0010273
                     20,                0.94108,                0.46148,                0.79292,                0.75547,                0.70505,                0.76742,                0.49013,                0.99349,                0.45829,                0.80879,              0.0010149,              0.0010149,              0.0010149
                     21,                0.97467,                 0.4942,                0.79589,                0.82156,                0.68042,                0.73855,                0.48706,                0.90118,                0.46462,                0.80531,              0.0010025,              0.0010025,              0.0010025
                     22,                0.92554,                0.47648,                0.79286,                0.81974,                 0.6609,                0.74413,                0.50326,                0.89466,                0.52155,                0.80095,             0.00099013,             0.00099013,             0.00099013
                     23,                0.89552,                0.44724,                0.79079,                0.82622,                0.67458,                0.75905,                 0.4927,                0.90538,                0.46088,                0.79871,             0.00097775,             0.00097775,             0.00097775
                     24,                0.87419,                0.42494,                0.78727,                0.89993,                0.70136,                 0.7808,                0.51683,                0.82596,                0.41107,                0.79843,             0.00096537,             0.00096537,             0.00096537
                     25,                 0.8741,                0.41732,                0.78935,                0.88477,                0.70174,                0.79001,                0.54213,                0.87199,                 0.4429,                0.79768,               0.000953,               0.000953,               0.000953
                     26,                0.94832,                0.44822,                0.79458,                0.82787,                0.65152,                0.72725,                0.45661,                 1.0404,                0.47575,                0.81546,             0.00094062,             0.00094062,             0.00094062
                     27,                0.93965,                 0.4507,                0.79275,                0.90239,                0.70063,                0.79014,                0.53213,                0.90816,                0.44322,                0.80262,             0.00092825,             0.00092825,             0.00092825
                     28,                0.89875,                0.42972,                0.79191,                0.92495,                0.71949,                0.80322,                0.54729,                0.84228,                0.41158,                 0.7998,             0.00091588,             0.00091588,             0.00091588
                     29,                0.88008,                 0.4173,                0.78884,                0.90199,                0.70365,                0.78608,                0.53932,                0.83324,                0.41265,                0.79641,              0.0009035,              0.0009035,              0.0009035
                     30,                0.85132,                0.40628,                0.78877,                0.83765,                0.70742,                0.77466,                 0.5308,                0.82157,                  0.408,                0.79814,             0.00089112,             0.00089112,             0.00089112
                     31,                0.87764,                0.42654,                0.78821,                0.87616,                0.68997,                0.74854,                0.50763,                0.87594,                0.43726,                0.80157,             0.00087875,             0.00087875,             0.00087875
                     32,                0.86611,                0.42144,                0.78682,                0.90191,                0.70716,                  0.777,                0.51786,                0.87881,                0.43028,                0.79818,             0.00086637,             0.00086637,             0.00086637
                     33,                 0.8785,                0.42717,                0.79018,                0.93804,                0.66772,                0.76359,                0.50644,                0.83852,                0.43178,                0.79873,               0.000854,               0.000854,               0.000854
